Symbol,Description,Price,Price - Currency,"Price change %, 1 day",Sector,Industry,Exchange,"Price × volume (turnover), 1 day","Price × volume (turnover), 1 day - Currency","Volume, 1 day","Price change %, 1 week","Price change %, 1 month","Performance %, 3 months","Performance %, 1 year",Market capitalization,Market capitalization - Currency,Country or region of registration,"Beta, 1 year","Volume, 1 week","Average volume, 30 days","Moving average convergence divergence, 12,26, 1 week, Level","Moving average convergence divergence, 12,26, 1 week, Signal","Moving average convergence divergence, 12,26, 1 day, Level","Moving average convergence divergence, 12,26, 1 day, Signal","Exponential moving average, 10, 1 day","Exponential moving average, 20, 1 day","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Exponential moving average, 10, 1 week","Exponential moving average, 20, 1 week","Exponential moving average, 50, 1 week","Exponential moving average, 200, 1 week",Snapshot Date
CPAY,"Corpay, Inc.",390.12,USD,-0.6949217258495655,Commercial services,Miscellaneous commercial services,NYSE,257865418.8,USD,660990,5.272815586378115,17.05824106580251,26.048465266558967,17.587485306085547,25498990190.0,USD,United States,1.1926987,2987385,690606.9333333333,14.795097254008796,10.394226258748043,10.036791448760653,7.229502245610455,376.83338965525377,368.09323108961433,354.7282043272279,331.3202943095122,358.5164395508658,345.34620998856576,330.38933166643915,298.9599376646661,2026-07-31
SWK,"Stanley Black & Decker, Inc.",95.55,USD,2.686727565824825,Consumer durables,Tools & hardware,NYSE,335028589.35,USD,3506317,4.700854700854692,1.519337016574578,21.54942119323241,39.489051094890506,14429641114.000002,USD,United States,1.2546331,13513587,1858277.433333333,4.376431946619931,2.902042624788836,2.072265811073649,1.6957440906837082,91.94659164689791,90.32832431239216,86.53933238471714,79.98945828423851,88.2602418051979,84.29095505492339,80.17684081587649,90.54718773948888,2026-07-31
RACE,Ferrari N.V.,397.73,USD,3.1216780315797714,Consumer durables,Motor vehicles,NYSE,463573803.77,USD,1165549,10.437607597045602,6.833382578097718,14.652637647737112,-20.91585142766245,94031652960.81494,USD,Italy,1.4458505,3355367,503195.7,1.8862248423160963,-4.943924175320502,5.926976495388772,4.595800383954815,380.40736299782577,375.6794133836586,365.9851478259767,373.7541481325568,369.77526819017913,364.3036818521442,379.39567020396646,363.92063915323007,2026-07-31
AS,"Amer Sports, Inc.",36.1,USD,0.1109262340543514,Consumer durables,Recreational products,NYSE,133763857.0,USD,3705370,6.426886792452829,6.678486997635927,2.995720399429399,-6.014058838844039,20875610720.0,USD,Finland,1.4582608,15238231,3833687.8333333335,-0.0178791346304763,-0.0700934304301337,0.212141769191426,0.0663506617781918,35.308236557868646,35.08217100905349,34.9788842455848,34.83298316827335,35.24475580075183,35.25699999699025,34.448965010822974,,2026-07-31
SN,"SharkNinja, Inc.",163.33,USD,2.5813340032659298,Consumer durables,Electronics/Appliances,NYSE,160085286.22,USD,980134,9.912516823687763,7.263413673080713,41.15461066459253,36.952876069092746,23114522370.000004,USD,United States,1.2702686,5029520,1547945.9,11.962052691107743,8.147969030364957,5.2288048718938,4.924767601860322,154.88349218849822,151.1160984333762,140.76678326225667,121.21514081716616,144.50215559097524,133.77693602599632,119.77806253598328,,2026-07-31
GM,General Motors Company,88.4,USD,-1.1185682326621922,Consumer durables,Motor vehicles,NYSE,550651998.0,USD,6229095,6.969990319457896,14.68604047742606,14.62655601659751,68.73449131513648,77566717306.0,USD,United States,1.1661267,37465458,8375385.333333333,2.090678098620458,1.8295864662972103,2.472891855379572,1.0600237973832205,84.60293559108575,82.08028392953037,80.1511755771877,74.95984778189869,80.58909998855546,79.1001539874323,73.48017434492685,56.33746590256189,2026-07-31
PII,Polaris Inc.,68.19,USD,1.3525564803804944,Consumer durables,Recreational products,NYSE,51377687.31,USD,753449,-6.640197152245356,-0.3652834599649328,2.850678733031675,15.870858113848762,3880251338.0,USD,United States,1.2419001,5335365,913800.8333333334,2.456937343774783,2.0848596592976483,0.7166995268073606,1.0913436839010555,70.76092888131951,70.37904267120511,68.55423874805767,63.91805585189011,68.88947436403862,66.88132540526047,63.74331389312594,74.92458373394734,2026-07-31
F,Ford Motor Company,14.86,USD,-2.7486910994764395,Consumer durables,Motor vehicles,NYSE,891982808.4599999,USD,60025761,3.409881697981908,6.9064748201438775,23.2172470978441,33.573033707865164,59257865677.0,USD,United States,1.7489074,292844287,56076475.4,0.4461510885441129,0.4078802144669025,0.2108867291802276,0.0865423873444923,14.605965218431598,14.391447929587915,14.12364803109068,13.218089553101205,14.23316114238768,13.886119331187055,13.138820056567228,12.266629310412368,2026-07-31
PVH,PVH Corp.,87.01,USD,-1.5055467511885876,Consumer non-durables,Apparel/Footwear,NYSE,73762553.48,USD,847748,8.20793433652532,17.169404793967143,-5.874080484638677,14.728375527426165,4011865293.0,USD,United States,2.0693514,3559804,975639.6,1.4159321185234148,1.633604888679572,1.7592074864056713,0.4195697802845276,83.12252058402416,81.1031551769786,80.6389648072276,78.80815266426413,81.01082758315601,80.03610560395066,78.95224233124388,85.0828871014463,2026-07-31
ASH,Ashland Inc.,72.7,USD,-0.1922020867655142,Consumer non-durables,Food: specialty/candy,NYSE,52609718.5,USD,723655,9.48795180722891,10.33540749734406,36.34658664666167,43.96039603960397,3329177807.9999995,USD,United States,1.1139662,5518766,966776.4,3.3812058141772,2.1014386332603503,1.770848313083917,1.505984169063857,69.0659895720852,67.7014105399744,64.51392028463225,59.73355296117946,65.69512842727815,62.55676776008749,60.12633961815204,70.91918836817818,2026-07-31
